V5,6,5.66%,,,,6,5.66%
In progress,7,6.60%,,,,7,6.60%
V6,93,87.74%,,,,93,87.74%
,106,,,,,106,
,,,,,,,
Dealer Name,Website Version,Incl. in process,Status,URL,Next?,Theme,Blob Migration
Addison Chevrolet Eglinton,V6,V6,Published,https://addisononeglinton.com,,Egypt,
Addison Chevrolet Erin Mills,V6,V6,Published,https://addisononerinmills.com,,Egypt,
Addison GM Group,V6,V6,Published,https://addisongm.com,,Egypt,
AM Ford,V6,V6,Published,https://amford.com/,,Egypt,
Barrhaven Ford,V6,V6,Published,https://barrhavenford.com/,,Egypt,
Bluestar Ford,V5,V5,In Progress,https://bluestarford.com/,,Genius,
Bluestar Lincoln,V5,V5,In Progress,https://bluestarlincoln.ca/,,Genius,
Brennen Ford,V6,V6,Published,https://brennenford.com/,,Egypt,
Bridges GM,V6,V6,Published,https://www.bridgesgm.com/,,Egypt,
Capital Cadillac Regina,V6,V6,Published,https://www.capitalcadillac.ca/,,Egypt,
Capital Chevrolet Buick GMC,V6,V6,Published,https://www.capitalchev.ca/,,Egypt,
Capital Ford Regina,V6,V6,Published,https://capitalfordlincoln.com/,,Egypt,
Capital Ford Winnipeg,V6,V6,Published,https://www.capitalfordwinnipeg.ca/,,Egypt,
Capital GMC Buick (Edmonton),V6,V6,Published,https://www.capitalgmcbuick.ca/,,Egypt,
Capital GMC Buick Regina,V6,V6,Published,https://www.capitalgmc.ca/,,Egypt,
Capital Lincoln Regina,V6,V6,Published,https://capitallincoln.ca/,,Egypt,
Capital Lincoln Winnipeg,V6,V6,Published,https://www.capitallincolnwinnipeg.ca/,,Egypt,
Chilliwack Ford,V6,V6,Published,https://chilliwackford.com/,,Egypt,
Cochrane Nissan,V6,V6,Published,https://cochranenissan.com/,,Egypt,
County Chevrolet Essex,V6,V6,Published,https://countychevroletessex.com/,,Egypt,
Coventry North Jaguar,V6,V6,Published,https://coventrynorthjaguar.com/,,IAG,
Coventry North Land Rover,V6,V6,Published,https://coventrynorthlandrover.com/,,IAG,
Crestview Chrysler,V6,V6,New - In Progress,https://crestviewchrysler.kinsta.cloud/,,Egypt,
Crowfoot Dodge,V6,V6,New - In Progress,https://crowfootdodge.kinsta.cloud/,,Egypt,
Derrick Dodge,V6,V6,New - In Progress,https://derrickdodge.kinsta.cloud/,,Egypt,
Direct Nissan,V6,V6,Published,https://directnissan.ca/,,Egypt,
Dixie Ford,V6,V6,Published,https://dixieford.com/,,Egypt,
Downey Ford Group,V6,V6,New - In Progress,https://downeyfordgroup.kinsta.cloud/,,Egypt,
Downey Ford Saint John,V6,V6,Published,https://downeyfordsj.ca/,,Egypt,
Downey Ford Saint Stephen,V6,V6,Published,https://downeyfordststephen.ca/,,Egypt,
Downey Ford Sussex,V6,V6,Published,https://downeyfordsussex.ca/,,Egypt,
Drive IAG,V6,V6,Published,https://driveiag.com/,,Egypt,
Dupont & Dupont Ford,V6,V6,Published,https://dupontdupontford.com/,,Egypt,
Eastcourt Ford,V5,V6,In Progress,https://eastcourtfordlincoln.com/,,Genius,
Eastcourt Lincoln,V6,V6,Published,https://eastcourtlincoln.ca/,,Egypt,
Eastgate Ford,V5,V5,Migration Pending,https://eastgateford.com/,,Genius,
Erinwood Ford,V6,V6,Published,https://erinwoodford.com/,,Egypt,
Evs Direct,V6,V6,Published,https://evsdirect.com/,,Egypt,
Formula Ford,V6,V6,Published,https://formulafordlincoln.com/,,IAG,
Formula Lincoln,V6,V6,Published,https://formulalincoln.ca/,,IAG,
Fraser Ford,V5,V5,Migration Pending,https://fraserford.ca/,,Genius,
Go North Surrey GM,V6,V6,Published,https://gonorthsurreygm.ca/,,Egypt,
Hamilton Hyundai,V6,V6,Published,https://hamiltonhyundai.ca/,,Egypt,
Highland Ford,V6,V6,Published,https://highlandford.com/,,Egypt,
Holiday Ford,V6,V6,Published,https://holidayford.com/,,Egypt,
Holiday Lincoln,V6,V6,Published,https://holidaylincoln.com/,,Egypt,
Hometown Ford,V5,V5,Migration Pending,https://www.hometownford.ca/,,Genius,
Honda Fort Saint John,V6,V6,Published,https://www.hondafsj.com/,,Egypt,
IAG Collision,V6,V6,Published,https://iagcollision.ca/,,IAG,
IAG Group,V6,V6,Published,https://iagcanada.com/,,IAG,
Island Chevrolet Buick GMC,V6,V6,Published,https://www.islandgm.com/,,Egypt,
Jenner Chevrolet Buick GMC,V6,V6,Published,https://jennerchev.com/,,Egypt,
